wall_time,ros_time,mode,gps_lat,gps_lon,gps_status,ekf_x,ekf_y,ekf_yaw,cmd_v,cmd_w,heading_offset_deg,bootstrap_done,heading_resync_count,moving_away_events,goal_id,goal_status
1779048582.879,1779048582.878,???,37.2300368,-80.4250020,0,+nan,+nan,+nan,+0.000,+0.000,-9.90,0,0,0,,
1779048583.079,1779048583.078,???,37.2300368,-80.4250020,0,+nan,+nan,+nan,+0.000,+0.000,-9.90,0,0,0,,
1779048583.779,1779048583.778,???,37.2300387,-80.4250155,0,+nan,+nan,+nan,+0.000,+0.000,-9.90,0,0,0,,
1779048583.979,1779048583.978,???,37.2300387,-80.4250155,0,+nan,+nan,+nan,+0.000,+0.000,-9.90,0,0,0,,
1779048586.879,1779048586.878,???,37.2300385,-80.4250160,0,+nan,+nan,+nan,+0.000,+0.000,-9.90,0,0,0,,
1779048587.079,1779048587.078,AUTO,37.2300385,-80.4250160,0,+nan,+nan,+nan,+0.000,+0.000,-9.90,0,0,0,,
1779048589.873,1779048587.078,AUTO,37.2300385,-80.4250160,0,+nan,+nan,+nan,+0.000,+0.000,-9.90,0,0,0,67817327,ACCEPTED
1779048589.925,1779048587.078,AUTO,37.2300385,-80.4250160,0,+nan,+nan,+nan,+0.000,+0.000,-9.90,0,0,0,67817327,EXECUTING
1779048590.079,1779048590.078,AUTO,37.2300383,-80.4250158,0,+nan,+nan,+nan,+0.000,+0.000,-9.90,0,0,0,,
1779048590.279,1779048590.278,AUTO,37.2300383,-80.4250158,0,+nan,+nan,+nan,+0.000,+0.000,-9.90,0,0,0,,
1779048593.583,1779048593.582,AUTO,37.2300385,-80.4250140,0,+nan,+nan,+nan,+0.000,+0.537,-9.90,0,0,0,,
1779048593.780,1779048593.779,AUTO,37.2300385,-80.4250140,0,+nan,+nan,+nan,+0.000,+0.537,-9.90,0,0,0,,
1779048596.680,1779048596.679,AUTO,37.2300388,-80.4250135,0,+nan,+nan,+nan,+0.000,+0.480,-9.90,0,0,0,,
