wall_time,ros_time,mode,gps_lat,gps_lon,gps_status,ekf_x,ekf_y,ekf_yaw,cmd_v,cmd_w,heading_offset_deg,bootstrap_done,heading_resync_count,moving_away_events,goal_id,goal_status
1779049004.449,1779049004.448,???,37.2300383,-80.4249800,0,+nan,+nan,+nan,+0.000,+0.000,+6.23,0,0,0,,
1779049004.649,1779049004.648,???,37.2300383,-80.4249800,0,+nan,+nan,+nan,+0.000,+0.000,+6.23,0,0,0,,
1779049007.451,1779049007.448,???,37.2300385,-80.4249797,0,+nan,+nan,+nan,+0.000,+0.000,+6.66,0,0,0,,
1779049007.649,1779049007.648,???,37.2300385,-80.4249797,0,+nan,+nan,+nan,+0.000,+0.000,+6.66,0,0,0,,
1779049010.011,1779049007.648,???,37.2300385,-80.4249797,0,+nan,+nan,+nan,+0.000,+0.000,+8.29,0,0,0,2c08f8f3,ACCEPTED
1779049010.016,1779049007.648,???,37.2300385,-80.4249797,0,+nan,+nan,+nan,+0.000,+0.000,+8.29,0,0,0,2c08f8f3,EXECUTING
1779049010.549,1779049010.548,???,37.2300385,-80.4249793,0,+nan,+nan,+nan,+0.000,+0.000,+8.29,0,0,0,,
1779049010.749,1779049010.748,???,37.2300385,-80.4249793,0,+nan,+nan,+nan,+0.000,+0.000,+8.29,0,0,0,,
1779049013.449,1779049013.448,???,37.2300457,-80.4249928,0,+nan,+nan,+nan,+0.000,+0.000,+1.16,0,0,0,,
1779049013.649,1779049013.648,???,37.2300457,-80.4249928,0,+nan,+nan,+nan,+0.000,+0.000,+1.16,0,0,0,,
1779049016.449,1779049016.448,AUTO,37.2300482,-80.4249952,0,+nan,+nan,+nan,+0.000,+0.000,-29.98,0,0,0,,
1779049016.650,1779049016.648,AUTO,37.2300482,-80.4249952,0,+nan,+nan,+nan,+0.000,+0.000,-135.44,0,0,0,,
1779049019.449,1779049019.448,AUTO,37.2300510,-80.4249988,0,+nan,+nan,+nan,+0.000,+0.000,-138.49,0,0,0,,
1779049019.650,1779049019.648,AUTO,37.2300510,-80.4249988,0,+nan,+nan,+nan,+0.000,+0.000,-138.49,0,0,0,,
1779049024.150,1779049024.149,AUTO,37.2300530,-80.4250077,0,+nan,+nan,+nan,-0.050,+0.000,-140.83,0,0,0,,
1779049024.349,1779049024.348,AUTO,37.2300530,-80.4250077,0,+nan,+nan,+nan,-0.050,+0.000,-140.83,0,0,0,,
1779049027.249,1779049027.248,AUTO,37.2300528,-80.4250080,0,+nan,+nan,+nan,-0.050,+0.000,-140.14,0,0,0,,
1779049027.449,1779049027.448,AUTO,37.2300528,-80.4250080,0,+nan,+nan,+nan,-0.050,+0.000,-139.86,0,0,0,,
1779049030.250,1779049030.248,AUTO,37.2300518,-80.4250080,0,+nan,+nan,+nan,-0.050,+0.000,-139.66,0,0,0,,
1779049030.449,1779049030.448,AUTO,37.2300518,-80.4250080,0,+nan,+nan,+nan,-0.050,+0.000,-139.66,0,0,0,,
1779049034.350,1779049034.349,AUTO,37.2300445,-80.4250057,0,+nan,+nan,+nan,-0.050,+0.000,-139.07,0,0,0,,
1779049034.550,1779049034.549,AUTO,37.2300445,-80.4250057,0,+nan,+nan,+nan,-0.050,+0.000,-139.07,0,0,0,,
