wall_time,ros_time,mode,gps_lat,gps_lon,gps_status,ekf_x,ekf_y,ekf_yaw,cmd_v,cmd_w,heading_offset_deg,bootstrap_done,heading_resync_count,moving_away_events,goal_id,goal_status
1779050015.021,1779050015.018,???,37.2300220,-80.4249752,0,+nan,+nan,+nan,+0.000,+0.000,+0.01,1,0,0,,
1779050015.219,1779050015.218,???,37.2300220,-80.4249752,0,+nan,+nan,+nan,+0.000,+0.000,-4.40,1,0,0,,
1779050015.319,1779050015.318,???,37.2300203,-80.4249773,0,+nan,+nan,+nan,+0.000,+0.000,-7.28,1,0,0,,
1779050015.519,1779050015.518,???,37.2300203,-80.4249773,0,+nan,+nan,+nan,+0.000,+0.000,-15.14,1,0,0,,
1779050018.319,1779050018.318,???,37.2300195,-80.4249790,0,+nan,+nan,+nan,+0.000,+0.000,-20.06,1,0,0,,
1779050018.519,1779050018.518,???,37.2300195,-80.4249790,0,+nan,+nan,+nan,+0.000,+0.000,-37.25,1,0,0,,
1779050021.419,1779050021.418,???,37.2300192,-80.4249813,0,+nan,+nan,+nan,+0.000,+0.000,-40.31,1,0,0,,
1779050021.619,1779050021.618,???,37.2300192,-80.4249813,0,+nan,+nan,+nan,+0.000,+0.000,-40.31,1,0,0,,
1779050023.736,1779050021.618,???,37.2300192,-80.4249813,0,+nan,+nan,+nan,+0.000,+0.000,-42.32,1,0,0,f93188f7,ACCEPTED
1779050023.739,1779050021.618,???,37.2300192,-80.4249813,0,+nan,+nan,+nan,+0.000,+0.000,-42.32,1,0,0,f93188f7,EXECUTING
1779050024.420,1779050024.418,AUTO,37.2300210,-80.4249842,0,+nan,+nan,+nan,+0.000,+0.000,-42.32,1,0,0,,
1779050024.619,1779050024.618,AUTO,37.2300210,-80.4249842,0,+nan,+nan,+nan,+0.000,+0.000,-42.32,1,0,0,,
1779050026.919,1779050026.918,AUTO,37.2300243,-80.4249932,0,+nan,+nan,+nan,+0.000,+0.000,-46.23,1,0,0,,
1779050027.120,1779050027.119,AUTO,37.2300243,-80.4249932,0,+nan,+nan,+nan,+0.000,+0.000,-46.23,1,0,0,,
1779050029.919,1779050029.918,AUTO,37.2300235,-80.4249930,0,+nan,+nan,+nan,+0.000,+0.000,-52.16,1,0,0,,
1779050030.121,1779050030.120,AUTO,37.2300235,-80.4249930,0,+nan,+nan,+nan,+0.000,+0.000,-52.16,1,0,0,,
1779050032.920,1779050032.918,AUTO,37.2300227,-80.4249928,0,+nan,+nan,+nan,+0.000,+0.000,-54.69,1,0,0,,
1779050033.124,1779050033.122,AUTO,37.2300227,-80.4249928,0,+nan,+nan,+nan,+0.000,+0.000,-54.69,1,0,0,,
1779050035.922,1779050035.921,AUTO,37.2300220,-80.4249925,0,+nan,+nan,+nan,+0.000,+0.000,-55.72,1,0,0,,
1779050036.120,1779050036.118,AUTO,37.2300220,-80.4249925,0,+nan,+nan,+nan,+0.000,+0.000,-55.72,1,0,0,,
1779050036.220,1779050036.218,AUTO,37.2300165,-80.4249905,0,+nan,+nan,+nan,+0.000,+0.000,-55.72,1,0,0,,
1779050036.420,1779050036.418,AUTO,37.2300165,-80.4249905,0,+nan,+nan,+nan,+0.000,+0.000,-55.53,1,0,0,,
1779050039.120,1779050039.118,AUTO,37.2300158,-80.4249902,0,+nan,+nan,+nan,+0.000,+0.000,-55.29,1,0,0,,
1779050039.320,1779050039.318,AUTO,37.2300158,-80.4249902,0,+nan,+nan,+nan,+0.000,+0.000,-55.13,1,0,0,,
1779050042.020,1779050042.019,AUTO,37.2300152,-80.4249900,0,+nan,+nan,+nan,+0.000,+0.000,-55.05,1,0,0,,
1779050042.220,1779050042.219,AUTO,37.2300152,-80.4249900,0,+nan,+nan,+nan,+0.000,+0.000,-55.05,1,0,0,,
1779050043.878,1779050042.219,AUTO,37.2300152,-80.4249900,0,+nan,+nan,+nan,+0.000,+0.000,-54.96,1,0,0,f93188f7,CANCELING
1779050044.372,1779050042.219,AUTO,37.2300152,-80.4249900,0,+nan,+nan,+nan,+0.000,+0.000,-54.96,1,0,0,f93188f7,CANCELED
1779050044.920,1779050044.919,AUTO,37.2300147,-80.4249902,0,+nan,+nan,+nan,+0.000,+0.000,-54.96,1,0,0,,
1779050045.120,1779050045.119,AUTO,37.2300147,-80.4249902,0,+nan,+nan,+nan,+0.000,+0.000,-54.95,1,0,0,,
1779050048.420,1779050048.419,AUTO,37.2300133,-80.4249915,0,+nan,+nan,+nan,+0.000,+0.000,-54.95,1,0,0,,
1779050048.620,1779050048.619,AUTO,37.2300133,-80.4249915,0,+nan,+nan,+nan,+0.000,+0.000,-54.95,1,0,0,,
1779050050.648,1779050048.619,AUTO,37.2300133,-80.4249915,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,22db667f,ACCEPTED
1779050050.652,1779050048.619,AUTO,37.2300133,-80.4249915,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,22db667f,EXECUTING
1779050051.420,1779050051.419,AUTO,37.2300132,-80.4249913,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050051.620,1779050051.619,AUTO,37.2300132,-80.4249913,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050054.421,1779050054.419,AUTO,37.2300130,-80.4249915,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050054.621,1779050054.619,AUTO,37.2300130,-80.4249915,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050057.220,1779050057.219,AUTO,37.2300135,-80.4249920,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050057.420,1779050057.419,AUTO,37.2300135,-80.4249920,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050060.221,1779050060.219,AUTO,37.2300135,-80.4249918,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050060.420,1779050060.419,AUTO,37.2300135,-80.4249918,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050063.221,1779050063.219,AUTO,37.2300135,-80.4249918,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050063.421,1779050063.419,AUTO,37.2300135,-80.4249918,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050066.221,1779050066.219,AUTO,37.2300133,-80.4249918,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050066.421,1779050066.419,AUTO,37.2300133,-80.4249918,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050069.321,1779050069.320,AUTO,37.2300122,-80.4249912,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050069.521,1779050069.520,AUTO,37.2300122,-80.4249912,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050072.321,1779050072.320,AUTO,37.2300123,-80.4249912,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050072.521,1779050072.520,AUTO,37.2300123,-80.4249912,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050075.324,1779050075.323,AUTO,37.2300123,-80.4249912,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
1779050075.521,1779050075.520,AUTO,37.2300123,-80.4249912,0,+nan,+nan,+nan,+0.000,+0.000,-54.98,1,0,0,,
