wall_time,ros_time,mode,gps_lat,gps_lon,gps_status,ekf_x,ekf_y,ekf_yaw,cmd_v,cmd_w,heading_offset_deg,bootstrap_done,heading_resync_count,moving_away_events,goal_id,goal_status
1779050639.241,1779050639.240,???,37.2300218,-80.4249775,0,+nan,+nan,+nan,+0.000,+0.000,-126.65,1,1,0,,
1779050639.454,1779050639.440,???,37.2300218,-80.4249775,0,+nan,+nan,+nan,+0.000,+0.000,-126.65,1,1,0,,
1779050642.341,1779050642.340,???,37.2300217,-80.4249778,0,+nan,+nan,+nan,+0.000,+0.000,-126.65,1,1,0,,
1779050642.542,1779050642.540,???,37.2300217,-80.4249778,0,+nan,+nan,+nan,+0.000,+0.000,-126.65,1,1,0,,
1779050646.344,1779050646.342,???,37.2300205,-80.4249767,0,+nan,+nan,+nan,+0.000,+0.000,-126.65,1,1,0,,
1779050646.544,1779050646.542,???,37.2300205,-80.4249767,0,+nan,+nan,+nan,+0.000,+0.000,-126.65,1,1,0,,
1779050649.343,1779050649.342,???,37.2300203,-80.4249765,0,+nan,+nan,+nan,+0.000,+0.000,-126.65,1,1,0,,
1779050649.542,1779050649.540,???,37.2300203,-80.4249765,0,+nan,+nan,+nan,+0.000,+0.000,-126.65,1,1,0,,
1779050652.343,1779050652.342,???,37.2300198,-80.4249765,0,+nan,+nan,+nan,+0.000,+0.000,-126.65,1,1,0,,
1779050652.542,1779050652.541,???,37.2300198,-80.4249765,0,+nan,+nan,+nan,+0.000,+0.000,-126.66,1,1,0,,
1779050656.242,1779050656.241,???,37.2300212,-80.4249863,0,+nan,+nan,+nan,+0.000,+0.000,-126.66,1,1,0,,
1779050656.444,1779050656.443,???,37.2300212,-80.4249863,0,+nan,+nan,+nan,+0.000,+0.000,-126.66,1,1,0,,
1779050659.142,1779050659.141,AUTO,37.2300227,-80.4249880,0,+nan,+nan,+nan,+0.000,+0.000,-126.66,1,1,0,,
1779050659.342,1779050659.341,AUTO,37.2300227,-80.4249880,0,+nan,+nan,+nan,+0.000,+0.000,-126.66,1,1,0,,
1779050661.471,1779050659.341,AUTO,37.2300227,-80.4249880,0,+nan,+nan,+nan,+0.000,+0.000,-126.69,1,1,0,f93188f7,CANCELED
1779050661.472,1779050659.341,AUTO,37.2300227,-80.4249880,0,+nan,+nan,+nan,+0.000,+0.000,-126.69,1,1,0,22db667f,CANCELED
1779050661.472,1779050659.341,AUTO,37.2300227,-80.4249880,0,+nan,+nan,+nan,+0.000,+0.000,-126.69,1,1,0,77ef553f,ACCEPTED
1779050661.473,1779050659.341,AUTO,37.2300227,-80.4249880,0,+nan,+nan,+nan,+0.000,+0.000,-126.69,1,1,0,77ef553f,EXECUTING
1779050662.142,1779050662.141,AUTO,37.2300235,-80.4249887,0,+nan,+nan,+nan,+0.000,+0.000,-126.69,1,1,0,,
1779050662.342,1779050662.341,AUTO,37.2300235,-80.4249887,0,+nan,+nan,+nan,+0.260,-0.480,-126.70,1,1,0,,
1779050667.143,1779050667.141,AUTO,37.2300298,-80.4249965,0,+nan,+nan,+nan,+0.010,+0.141,-126.70,1,1,0,,
1779050667.343,1779050667.342,AUTO,37.2300298,-80.4249965,0,+nan,+nan,+nan,+0.079,+0.414,-150.63,1,2,0,,
1779050670.042,1779050670.041,AUTO,37.2300315,-80.4249967,0,+nan,+nan,+nan,+0.260,-0.650,-150.58,1,2,0,,
1779050670.243,1779050670.242,AUTO,37.2300315,-80.4249967,0,+nan,+nan,+nan,+0.260,-0.650,-150.58,1,2,0,,
